# Data from the supplement of Markov et al (2014). A weighted and directed interareal connectivity matrix for macaque cerebral cortex. Cerebral Cortex (New York, N.Y. : 1991), 24(1), 17â€“36. https://doi.org/10.1093/cercor/bhs270
INJECTED AREA	CASE	MONKEY	SECTION PLANE	NODE NUMBER	FIDUCIAL	F99	(X,Y,Z)	FV91 Area	Comment
									
V1	1	M81LH	HORIZONTAL	30856	27.6	-34.9	5.3	V1	
V1	2	M85LH	HORIZONTAL	30087	27.7	-35	3.7	V1	
V1	3	M85RH	HORIZONTAL	30087	27.7	-35	3.7	V1	
V1	4	M88RH	HORIZONTAL	30086	27.8	-34.7	3.1	V1	
V1	5	M121LH	CORONAL	29325	26.3	-36.6	5.6	V1	
V2	6	M101LH	CORONAL	33931	25.8	-32	9.2	V2	slightly beside
V2	7	M101RH	CORONAL	33163	26.9	-32.7	9	V2	slightly beside
V2	8	M103LH	CORONAL	33164	26.4	-32.7	9.4	V2	slightly beside
V4	9	M121RH	CORONAL	36206	29.9	-25.2	4.6	V4	
V4	10	M123LH	CORONAL	37357	29.9	-25.7	4.2	V4	
TEO	11	M119LH	CORONAL	28507	28.1	-25.3	-4	V4	
9/46d	12	M106LH	CORONAL	62526	14.7	14.3	16.1	FEF	
F5	13	M106RH	CORONAL	71691	24.8	5.5	9.6	Area 4 / ???	on the border
8m	14	BB272LH	CORONAL	65890	14.4	8.3	16.8	FEF	
7A	15	BB135LH	HORIZONTAL	57021	15.8	-26.9	20.8	7a	
DP	16	M89LH	HORIZONTAL	47018	15.2	-30.1	18.4	DP	on the border to V4
2	17	M98LH	CORONAL	73334	27.8	-6.5	11.1	Area 2	
5	18	M70LH	HORIZONTAL	58987	17.4	-17.2	21.3	Area 2	
7B	19	M68LH	SAGITAL	69949	24.9	-16.2	15.7	7b	
STPr	20	BB289RH	CORONAL	52646	23.7	-2.6	-8.2	STPa	
STPi	21	BB289LH	CORONAL	60751	28.3	-10	-1.7	STPp	
STPc	22	M90RH	HORIZONTAL	63769	23.9	-22	8.7	STPp	
PBr	23	M108LH	CORONAL	61894	28.8	-7.6	0.6	STPp	
Tepd	24	M128RH	CORONAL	34605	28.4	-13.2	-11.2	CITv	
24c	25	NICO	CORONAL	48707	6.2	12.7	14.2	Area 9	
F1	26	M69LH	HORIZONTAL	65528	15.3	-8.4	22.8	Area 4	
F2	27	M102RH	CORONAL	56369	4.6	3.2	23.7	Area 6	slightly beside
F7	28	M102LH	CORONAL	57930	6.2	15.9	19.8	Area 9 	
ProM	29	M98LH	CORONAL	69842	24.8	8.5	1.8	???	
8l	30	BB272RH	CORONAL	66497	16.9	7.6	16.5	FEF	
9/46v	31	M116RH	CORONAL	64296	17.9	13.4	13.2	46	
46d	32	M116LH	CORONAL	57944	8.5	19.8	13.9	46	
8B	33	M128LH	CORONAL	57165	6.3	18.5	18.8	9	
10	34	M131LH	CORONAL	51414	3.7	26.9	7	Area 10	
MT	35	M133LH	CORONAL	51976	21.5	-23.8	6.2	MSTd	border to V4, V4t
7m	36	M136RH	CORONAL	24054	1.9	-27.1	19.2	Area 23	
10	37	M136LH	CORONAL	51030	3.5	26.5	6.4	Area 10	
10	38	M137LH	CORONAL	51414	3.7	26.9	7	Area 10	
10	39	BB341LH	CORONAL	51414	3.7	26.9	7	Area 10	
