#Taken from CoCoMac database (www.cocomac.org), the distance between two areas is taken to be the distance between the center points, which is computed via a sophisticated method of Thom Oostendorp

	V1	V2	V3	VP	V3A	V4	VOT	V4t	MT	FST	PITd	PITv	CITd	CITv	AITd	AITv	STPp	STPa	TF	TH	MSTd	MSTl	PO	PIP	LIP	VIP	MIP	MDP	DP	7a	FEF	46
V1	0	18.71	10.685	19.494	9.639	21.216	22.492	16.695	18.994	26.502	23.301	26.687	30.883	34.236	37.03	37.114	36.349	34.388	23.492	20.946	13.495	19.112	8.973	4.904	19.298	15.454	13.004	18.594	17.428	23.416	49.578	52.619
V2	18.71	0	24.187	14.27	20.031	21.772	18.155	15.574	14.908	20.778	18.689	22.437	24.662	27.89	30.199	29.026	31.948	28.151	15.017	9.067	17.33	16.336	25.205	19.344	28.663	25.784	27.907	33.179	27.092	29.532	47.566	49.877
V3	10.685	24.187	0	24.697	5.744	23.134	27.66	20.399	24.257	31.838	28.58	31.441	36.402	39.735	42.654	43.025	40.629	39.742	29.37	27.127	15.656	23.402	15.161	7.805	17.584	16.543	18.157	23.91	14.337	23.021	51.846	55.35
VP	19.494	14.27	24.697	0	20.865	20.437	14.537	16.573	15.658	23.493	18.156	19.578	23.462	25.283	30.261	30	34.925	30.601	17.04	20.205	20.925	19.911	26.89	20.363	30.662	27.96	29.813	35.086	28.081	33.181	52.854	55.374
V3A	9.639	20.031	5.744	20.865	0	17.429	22.341	14.987	19.061	26.952	23.385	25.925	31.286	34.535	37.635	38.289	35.734	34.865	24.883	23.198	11.069	18.498	14.36	6.805	12.477	11.622	17.356	22.817	9.005	17.978	47.157	50.661
V4	21.216	21.772	23.134	20.437	17.429	0	11.793	8.773	12.356	19.924	12.648	12.704	19.811	22.175	26.327	28.597	31.248	27.307	18.984	23.932	15.996	15.513	27.529	20.736	25.135	24.08	29.74	34.31	20.93	28.188	48.667	51.306
VOT	22.492	18.155	27.66	14.537	22.341	11.793	0	8.804	5.705	11.073	4.622	5.045	10.6	12.851	17.545	18.449	22.502	18.071	8.961	17.856	16.773	10.509	27.901	22.301	29.05	26.759	30.465	35.352	27.385	27.39	41.448	43.783
V4t	16.695	15.574	20.399	16.573	14.987	8.773	8.804	0	5.698	14.607	9.949	11.606	17.881	20.704	24.188	25.038	24.095	22.056	13.244	15.865	9.304	7.425	21.608	15.732	21.047	18.997	23.749	28.217	19.33	21.51	40.471	43.21
MT	18.994	14.908	24.257	15.658	19.061	12.356	5.705	5.698	0	9.618	4.324	8.317	12.421	15.638	18.882	19.719	20.266	17.001	8.704	13.809	11.618	5.124	23.501	18.411	24.117	21.796	26.132	30.687	23.844	21.836	37.411	39.927
FST	26.502	20.778	31.838	23.493	26.952	19.924	11.073	14.607	9.618	0	7.354	9.992	6.444	11.087	11.355	12.683	11.431	7.992	10.012	16.069	17.321	9.189	29.41	25.566	29.21	26.984	32.15	35.596	30.941	26.474	31.467	33.22
PITd	23.301	18.689	28.58	18.156	23.385	12.648	4.622	9.949	4.324	7.354	0	4.58	9.046	12.055	15.807	16.96	18.622	14.737	9.083	16.62	15.676	7.587	27.717	22.723	28.035	25.899	30.421	34.934	28.121	25.174	37.329	39.664
PITv	26.687	22.437	31.441	19.578	25.925	12.704	5.045	11.606	8.317	9.992	4.58	0	7.407	9.471	14.031	16.214	21.253	16.387	11.547	20.676	19.83	12.009	31.698	26.39	32.222	30.053	34.378	38.97	30.339	29.523	41.093	43.011
CITd	30.883	24.662	36.402	23.462	31.286	19.811	10.6	17.881	12.421	6.444	9.046	7.407	0	4.873	6.992	9.156	15.496	9.802	10.892	20.855	22.858	14.606	34.451	30.211	35.084	32.841	37.325	41.358	35.894	32.193	36.474	37.746
CITv	34.236	27.89	39.735	25.283	34.535	22.175	12.851	20.704	15.638	11.087	12.055	9.471	4.873	0	7.573	8.284	19.359	12.278	14.171	24.433	26.7	18.537	38.278	33.705	39.035	36.884	41.293	45.534	39.336	36.124	40.417	41.34
AITd	37.03	30.199	42.654	30.261	37.635	26.327	17.545	24.188	18.882	11.355	15.807	14.031	6.992	7.573	0	6.755	16.284	7.151	16.461	25.789	28.575	20.419	39.866	36.215	40.531	38.133	42.767	46.402	41.989	37.718	35.717	35.418
AITv	37.114	29.026	43.025	30	38.289	28.597	18.449	25.038	19.719	12.683	16.96	16.214	9.156	8.284	6.755	0	18.302	9.334	15.215	23.568	29.441	21.476	39.747	36.342	41.616	38.845	42.854	46.826	42.76	39.03	37.806	37.581
STPp	36.349	31.948	40.629	34.925	35.734	31.248	22.502	24.095	20.266	11.431	18.622	21.253	15.496	19.359	16.284	18.302	0	9.133	21.118	27.233	25.461	17.341	39.433	35.037	36.21	35.33	41.457	44.449	39.289	32.01	32.945	33.701
STPa	34.388	28.151	39.742	30.601	34.865	27.307	18.071	22.056	17.001	7.992	14.737	16.387	9.802	12.278	7.151	9.334	9.133	0	16.013	23.022	24.909	16.783	36.914	33.399	36.257	34.161	39.605	42.486	38.67	33.5	29.534	29.915
TF	23.492	15.017	29.37	17.04	24.883	18.984	8.961	13.244	8.704	10.012	9.083	11.547	10.892	14.171	16.461	15.215	21.118	16.013	0	12.567	18.121	12.361	27.205	22.967	30.515	27.273	30.181	34.898	30.483	29.097	41.128	42.9
TH	20.946	9.067	27.127	20.205	23.198	23.932	17.856	15.865	13.809	16.069	16.62	20.676	20.855	24.433	25.789	23.568	27.233	23.022	12.567	0	15.616	13.68	22.61	19.986	27.043	22.93	25.708	30.207	28.139	27.778	42.093	44.285
MSTd	13.495	17.33	15.656	20.925	11.069	15.996	16.773	9.304	11.618	17.321	15.676	19.83	22.858	26.7	28.575	29.441	25.461	24.909	18.121	15.616	0	8.601	15.327	10.652	12.5	10.386	16.461	20.174	14.063	12.3	36.699	40.028
MSTl	19.112	16.336	23.402	19.911	18.498	15.513	10.509	7.425	5.124	9.189	7.587	12.009	14.606	18.537	20.419	21.476	17.341	16.783	12.361	13.68	8.601	0	22.344	17.741	20.531	18.775	24.338	28.025	22.217	17.587	33.25	35.928
PO	8.973	25.205	15.161	26.89	14.36	27.529	27.901	21.608	23.501	29.41	27.717	31.698	34.451	38.278	39.866	39.747	39.433	36.914	27.205	22.61	15.327	22.344	0	7.555	17.591	12.11	8.172	12.072	19.56	23.413	48.493	51.715
PIP	4.904	19.344	7.805	20.363	6.805	20.736	22.301	15.732	18.411	25.566	22.723	26.39	30.211	33.705	36.215	36.342	35.037	33.399	22.967	19.986	10.652	17.741	7.555	0	15.732	12.203	10.551	16.303	13.877	19.986	46.806	50.131
LIP	19.298	28.663	17.584	30.662	12.477	25.135	29.05	21.047	24.117	29.21	28.035	32.222	35.084	39.035	40.531	41.616	36.21	36.257	30.515	27.043	12.5	20.531	17.591	15.732	0	5.819	17.362	19.994	7.556	9.419	42.63	46.21
VIP	15.454	25.784	16.543	27.96	11.622	24.08	26.759	18.997	21.796	26.984	25.899	30.053	32.841	36.884	38.133	38.845	35.33	34.161	27.273	22.93	10.386	18.775	12.11	12.203	5.819	0	12.033	14.665	9.666	13.446	41.121	44.651
MIP	13.004	27.907	18.157	29.813	17.356	29.74	30.465	23.749	26.132	32.15	30.421	34.378	37.325	41.293	42.767	42.854	41.457	39.605	30.181	25.708	16.461	24.338	8.172	10.551	17.362	12.033	0	6.259	20.298	23.818	47.16	50.676
MDP	18.594	33.179	23.91	35.086	22.817	34.31	35.352	28.217	30.687	35.596	34.934	38.97	41.358	45.534	46.402	46.826	44.449	42.486	34.898	30.207	20.174	28.025	12.072	16.303	19.994	14.665	6.259	0	23.472	26.347	47.257	50.887
DP	17.428	27.092	14.337	28.081	9.005	20.93	27.385	19.33	23.844	30.941	28.121	30.339	35.894	39.336	41.989	42.76	39.289	38.67	30.483	28.139	14.063	22.217	19.56	13.877	7.556	9.666	20.298	23.472	0	14.155	47.625	51.212
7a	23.416	29.532	23.021	33.181	17.978	28.188	27.39	21.51	21.836	26.474	25.174	29.523	32.193	36.124	37.718	39.03	32.01	33.5	29.097	27.778	12.3	17.587	23.413	19.986	9.419	13.446	23.818	26.347	14.155	0	39.407	42.812
FEF	49.578	47.566	51.846	52.854	47.157	48.667	41.448	40.471	37.411	31.467	37.329	41.093	36.474	40.417	35.717	37.806	32.945	29.534	41.128	42.093	36.699	33.25	48.493	46.806	42.63	41.121	47.16	47.257	47.625	39.407	0	10.145
46	52.619	49.877	55.35	55.374	50.661	51.306	43.783	43.21	39.927	33.22	39.664	43.011	37.746	41.34	35.418	37.581	33.701	29.915	42.9	44.285	40.028	35.928	51.715	50.131	46.21	44.651	50.676	50.887	51.212	42.812	10.145	0
